OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID
38,,Pleasant Hill,Neighborhood,,,,,,252.67,0.39,Pleasant Hill,A,,,GIS,2018-05-15T13:24:10.000Z,{9D7BB91C-0DCF-45DD-8F3F-6F23748D4A93}
39,,Ridgewood Heights,Neighborhood,,,,,,137.02,0.21,Ridgewood Heights,C,,,GIS,2018-05-15T13:24:10.000Z,{6966A245-7101-4837-9445-EE2D2973BF5C}
40,,Fernleaf,Neighborhood,,,,,,54.5,0.09,Fernleaf,C,,,GIS,2018-05-15T13:24:10.000Z,{1ED3D5BA-3F49-49D8-AE31-DFDB1E908196}
41,,Westminster/Milmar,Neighborhood,,,,,,90.46,0.14,Westminster Milmar,C,,,GIS,2018-05-15T13:24:10.000Z,{0ADF65B4-E775-426C-A571-FEBFB6F8AF40}
42,,Arden/Habersham,Neighborhood,,,,,,114.61,0.18,Arden Habersham,C,,,GIS,2018-05-15T13:24:10.000Z,{D5943E54-D1FC-4DD3-B549-04F6CAA14A85}
43,,Woodfield,Neighborhood,,,,,,46.39,0.07,Woodfield,C,,,GIS,2018-05-15T13:24:10.000Z,{5C9A42E3-7F9B-4C15-8823-7800ACD0A060}
44,,Springlake,Neighborhood,,,,,,152.35,0.24,Springlake,C,,,GIS,2018-05-15T13:24:10.000Z,{0DC5D413-A7E3-4E5A-9049-1B12A07A78B6}
45,,Channing Valley,Neighborhood,,,,,,72.96,0.11,Channing Valley,C,,,GIS,2018-05-15T13:24:10.000Z,{F80EEC84-9208-4BB9-8F14-3BC13F1C2BB7}
46,,Collier Hills,Neighborhood,,,,,,151.42,0.24,Collier Hills,C,,,GIS,2018-05-15T13:24:10.000Z,{AE90C4DD-AD47-49F6-8846-47B1277D1DFA}
47,,Colonial Homes,Neighborhood,,,,,,27.42,0.04,Colonial Homes,C,,,GIS,2018-05-15T13:24:10.000Z,{95ED6F40-0B41-44A8-A5BE-F06283326C51}
48,,Cabbagetown,Neighborhood,,,,,,112.17,0.18,Cabbage Town,N,,,GIS,2018-05-15T13:24:10.000Z,{267DA5D6-6421-4870-AA02-137C41930051}
49,,Reynoldstown,Neighborhood,,,,,,395.41,0.62,Reynoldstown,N,,,GIS,2018-05-15T13:24:10.000Z,{F178147A-A945-4234-8052-D81C012E4ECB}
51,,Ormewood Park,Neighborhood,,,,,,505.91,0.79,Ormewood Park,W,,,GIS,2018-05-15T13:24:10.000Z,{EC67BCEC-A8CB-49B0-8979-4D36C9FC2D32}
52,,Woodland Hills,Neighborhood,,,,,,94.71,0.15,Woodland Hills,W,,,GIS,2018-05-15T13:24:10.000Z,{01E58E2B-50D2-476B-9670-CDD137717CA1}
53,,Benteen Park,Neighborhood,,,,,,180.54,0.28,Benteen,W,,,GIS,2018-05-15T13:24:10.000Z,{6F4AC49D-3F7D-4873-89C6-AEE0A2D6AAC5}
54,,Boulevard Heights,Neighborhood,,,,,,140.21,0.22,Boulevard Heights,W,,,GIS,2018-05-15T13:24:10.000Z,{86A6BACD-68D0-40FD-83BA-9FD63C97B887}
55,,Rebel Valley Forest,Neighborhood,,,,,,112.36,0.18,Rebel Valley Forest,Z,,,GIS,2018-05-15T13:24:10.000Z,{6B3F2CCF-2905-45C6-8B08-E6971E78C328}
56,,Leila Valley,Neighborhood,,,,,,314.8,0.49,Leila Valley,Z,,,GIS,2018-05-15T13:24:10.000Z,{D3B20D8F-7D74-4A29-A947-FA64841311FA}
58,,Cascade Avenue/Road,Neighborhood,,,,,,673.3,1.05,Cascade Road,S,,,GIS,2018-05-15T13:24:10.000Z,{CDB5122B-F54E-4893-9264-C41C69E235D4}
59,,Oakland City,Neighborhood,,,,,,630.39,0.98,Oakland City,S,,,GIS,2018-05-15T13:24:10.000Z,{EB398172-A2F8-42B4-B73A-D237D926B9C8}
60,,Campbellton Road,Neighborhood,,,,,,432.38,0.68,Campbellton Road,R,,,GIS,2018-05-15T13:24:10.000Z,{7F9C6923-F17A-4C70-9F40-49235294CB69}
61,,Southwest,Neighborhood,,,,,,1262.47,1.97,Southwest,R,,,GIS,2018-05-15T13:24:10.000Z,{430929E0-8949-48DD-9E5F-778F07F688F9}
62,,Adams Park,Neighborhood,,,,,,628.53,0.98,Adams Park,R,,,GIS,2018-05-15T13:24:10.000Z,{806632F1-D3FC-4DD2-978A-42B625F8C601}
63,,Mellwood,Neighborhood,,,,,,23.3,0.04,Melwood,P,,,GIS,2018-05-15T13:24:10.000Z,{0ED77AB2-19DB-41EA-A7CD-B5F9033327D5}
64,,Tampa Park,Neighborhood,,,,,,17.19,0.03,Tampa Park,P,,,GIS,2018-05-15T13:24:10.000Z,{A54BDB59-7D9D-496A-80D1-17723D2F4D08}
65,,Brentwood,Neighborhood,,,,,,46.45,0.07,Brentwood,P,,,GIS,2018-05-15T13:24:10.000Z,{4CC9A239-E950-40E4-905B-46901522AE6D}
66,,Lake Estates,Neighborhood,,,,,,42.12,0.07,Lake Coral Estates,P,,,GIS,2018-05-15T13:24:10.000Z,{881DBCED-ECD4-402C-BA5A-5C70901C4D21}
67,,Butner/Tell,Neighborhood,,,,,,143.88,0.22,Butner Tell,P,,,GIS,2018-05-15T13:24:10.000Z,{0677781B-FA47-43A3-86FC-5401A586981A}
68,,Elmco Estates,Neighborhood,,,,,,132.58,0.21,Elmco Estates,P,,,GIS,2018-05-15T13:24:10.000Z,{127606D4-690C-4B53-A273-E1A1702BC5BD}
69,,Sandlewood Estates,Neighborhood,,,,,,56.51,0.09,Sandlewood Estates,P,,,GIS,2018-05-15T13:24:10.000Z,{3A807E2E-AF9B-4D22-93F9-85AACAA9C981}
70,,Ashley Courts,Neighborhood,,,,,,35.91,0.06,Kimberley Courts,P,,,GIS,2018-05-15T13:24:10.000Z,{7368E720-1C5C-42FD-B2FF-3E416890B37C}
71,,Ben Hill,Neighborhood,,,,,,685.22,1.07,Ben Hill,P,,,GIS,2018-05-15T13:24:10.000Z,{BE4276A0-2F34-4E15-8DDA-F8059ACC9E22}
72,,Berkeley Park,Neighborhood,,,,,,300.29,0.47,Berkeley Park,D,,,GIS,2018-05-15T13:24:10.000Z,{200941BA-621D-4CEB-85E1-DAE3F0C12784}
73,,Underwood Hills,Neighborhood,,,,,,718.32,1.12,Underwood Hills,D,,,GIS,2018-05-15T13:24:10.000Z,{F6A29233-FF85-4169-91C3-73BFE2023102}
74,,Riverside,Neighborhood,,,,,,500.1,0.78,Riverside,D,,,GIS,2018-05-15T13:24:10.000Z,{2EBF0A4D-2806-447E-8D78-1EF68F5CC343}
75,,Bolton,Neighborhood,,,,,,964.68,1.51,Bolton,D,,,GIS,2018-05-15T13:24:10.000Z,{68C7BA9F-7608-4A79-B59E-65E2C4C00FE6}
76,,Blandtown,Neighborhood,,,,,,495.03,0.77,Blandtown,D,,,GIS,2018-05-15T13:24:10.000Z,{B120B823-DF1C-43A1-8E6B-0CCA0C7A8D72}
77,,Lincoln Homes,Neighborhood,,,,,,166.59,0.26,Lincoln Homes,G,,,GIS,2018-05-15T13:24:10.000Z,{760CE299-A137-42FB-9ACA-079739E3B85D}
78,,Scotts Crossing,Neighborhood,,,,,,310.83,0.49,Scotts Crossing,G,,,GIS,2018-05-15T13:24:10.000Z,{B73ED0A9-5071-411C-B43C-F24966C98182}
79,,West Highlands,Neighborhood,,,,,,507.02,0.79,Perry Homes,G,,,GIS,2018-05-15T13:24:10.000Z,{72D80BC0-3021-4444-AD33-48662B2AB619}
80,,Rockdale,Neighborhood,,,,,,358.31,0.56,Rockdale,G,,,GIS,2018-05-15T13:24:10.000Z,{78733A65-6404-49A9-B440-7D53607EBB9A}
81,,Monroe Heights,Neighborhood,,,,,,248.72,0.39,Monroe Heights,G,,,GIS,2018-05-15T13:24:10.000Z,{7A806875-E2CE-4088-848A-AA35B3192661}
82,,Brookview Heights,Neighborhood,,,,,,345.17,0.54,Watts Road,G,,,GIS,2018-05-15T13:24:10.000Z,{048749C8-B16A-4043-B7A0-75FD92983B8C}
83,,Center Hill,Neighborhood,,,,,,703.7,1.1,Center Hill,J,,,GIS,2018-05-15T13:24:10.000Z,{819901CA-CAD0-4D35-9F85-CAA55E6A32BA}
84,,Bankhead Courts,Neighborhood,,,,,,48.95,0.08,Bankhead Courts,H,,,GIS,2018-05-15T13:24:10.000Z,{67A0A32E-8339-4F24-82D6-B1912760B751}
85,,Wisteria Gardens,Neighborhood,,,,,,110.71,0.17,Wisteria Gardens,H,,,GIS,2018-05-15T13:24:10.000Z,{FCA8C791-6194-4407-AC4A-3C24C91B68A5}
86,,Baker Hills,Neighborhood,,,,,,183.44,0.29,Baker Hills,H,,,GIS,2018-05-15T13:24:10.000Z,{79184CD8-CF78-44A7-92BD-24941DF8A997}
87,,Wilson Mill Meadows,Neighborhood,,,,,,241.95,0.38,Wilson Mill Meadows,H,,,GIS,2018-05-15T13:24:10.000Z,{2B63D8A7-D37E-42E1-B0FC-7108E65264AF}
88,,Orchard Knob,Neighborhood,,,,,,293.54,0.46,Orchard Knob,Z,,,GIS,2018-05-15T13:24:10.000Z,{5E05DAE9-12DE-4325-BB3A-52ADC8C6F61A}
89,,Lenox,Neighborhood,,,,,,152.2,0.24,Lenox Superblock,B,,,GIS,2018-05-15T13:24:10.000Z,{1C0811AB-B323-4DD6-B868-11BEC992922D}
90,,Peachtree Park,Neighborhood,,,,,,311.14,0.49,Peachtree Park,B,,,GIS,2018-05-15T13:24:10.000Z,{29E3DAE2-F37C-48C9-B7A3-5416A943E4C7}
91,,Buckhead Forest,Neighborhood,,,,,,200.28,0.31,Buckhead Forest,B,,,GIS,2018-05-15T13:24:10.000Z,{DCC63597-2E03-4946-BAD6-0DC64CDB03A5}
92,,Peachtree Heights West,Neighborhood,,,,,,579.91,0.91,Peachtree Heights West,B,,,GIS,2018-05-15T13:24:10.000Z,{31E51C2A-B95F-4E48-AD17-E8BD0BD0C88E}
93,,Garden Hills,Neighborhood,,,,,,482.29,0.75,Garden Hills,B,,,GIS,2018-05-15T13:24:10.000Z,{1A9B52D8-DE45-4D75-847F-D2FC3F4C4EF3}
94,,Peachtree Hills,Neighborhood,,,,,,330.62,0.52,Peachtree Hills,B,,,GIS,2018-05-15T13:24:10.000Z,{A9D76F74-10E6-4C46-889A-F2A02630ADE3}
95,,Randall Mill,Neighborhood,,,,,,217.89,0.34,Randall Mill,A,,,GIS,2018-05-15T13:24:10.000Z,{0856E3C7-96A7-470F-A0D7-B76F6B5934E0}
96,,Kingswood,Neighborhood,,,,,,400.61,0.63,Kingswood,A,,,GIS,2018-05-15T13:24:10.000Z,{BFEDF2F0-ACBC-45E4-BF9A-C3A0E370B92E}
97,,Tuxedo Park,Neighborhood,,,,,,735.05,1.15,Tuxedo Park,A,,,GIS,2018-05-15T13:24:10.000Z,{57BC4F1B-FD2B-471D-B012-A3AEA65FF56F}
98,,Margaret Mitchell,Neighborhood,,,,,,540.68,0.84,Margaret Mitchell,A,,,GIS,2018-05-15T13:24:10.000Z,{CFBCBD92-BC43-4181-80E6-665B66E847A7}
99,,Westover Plantation,Neighborhood,,,,,,51.32,0.08,Westover Plantation,C,,,GIS,2018-05-15T13:24:10.000Z,{81B17A54-32D9-41DB-88E1-02BFB3D09ADC}
100,,Cross Creek,Neighborhood,,,,,,178.88,0.28,Cross Creek,C,,,GIS,2018-05-15T13:24:10.000Z,{874BCBE2-2F5E-41DD-8391-31FBF464DCBD}
101,,Castlewood,Neighborhood,,,,,,208.29,0.33,Castlewood,C,,,GIS,2018-05-15T13:24:10.000Z,{A79D8AC0-5295-40BF-BF4D-192D6EA0AAF8}
102,,Argonne Forest,Neighborhood,,,,,,173,0.27,Argonne Forest,C,,,GIS,2018-05-15T13:24:10.000Z,{83D1632A-F2FA-4A9A-BFFB-D55ABF45B11F}
103,,Wyngate,Neighborhood,,,,,,186.79,0.29,Wyngate,C,,,GIS,2018-05-15T13:24:10.000Z,{5BD8AC55-FED7-4022-AAF9-3EB08FBFD75E}
104,,Peachtree Battle Alliance,Neighborhood,,,,,,458.65,0.72,Haynes Manor,C,,,GIS,2018-05-15T13:24:10.000Z,{D010D540-F1B2-479B-B081-1D979288F318}
105,,Memorial Park,Neighborhood,,,,,,92.79,0.14,Memorial Park,C,,,GIS,2018-05-15T13:24:10.000Z,{C9E1CD17-C6AF-40EF-AA2F-454645437704}
106,,Wildwood (NPU-C),Neighborhood,,,,,,235.77,0.37,Wildwood,C,,,GIS,2018-05-15T13:24:10.000Z,{4B59DF74-E07E-414F-9C37-8F9EDEB55357}
107,,Collier Hills North,Neighborhood,,,,,,70.82,0.11,Collier Hills North,C,,,GIS,2018-05-15T13:24:10.000Z,{CE2AFF29-1B1B-418A-A38A-2114FBB7255F}
108,,Beecher Hills,Neighborhood,,,,,,284.6,0.44,Beecher Hills,I,,,GIS,2018-05-15T13:24:10.000Z,{BC9BDF0D-5112-4426-ADE8-1CA16ED00B79}
109,,Westwood Terrace,Neighborhood,,,,,,141.13,0.22,Westwood Terrace,I,,,GIS,2018-05-15T13:24:10.000Z,{3E6368C9-2ADA-4B8F-A050-5CA8993A4FAE}
110,,Harris Chiles,Neighborhood,,,,,,88.81,0.14,Harris Chiles,T,,,GIS,2018-05-15T13:24:10.000Z,{BAD4D86C-3A10-44F5-8AB1-A40B0D9C5F96}
111,,The Villages at Castleberry Hill,Neighborhood,,,,,,57.14,0.09,John Hope Homes,T,,,GIS,2018-05-15T13:24:10.000Z,{6E8447E2-DC28-46CE-B8C8-C471B3F8776A}
112,,Mozley Park,Neighborhood,,,,,,276.76,0.43,Mozley Park,K,,,GIS,2018-05-15T13:24:10.000Z,{EC7A089B-9291-4203-8AE8-03CCB7CB2288}
113,,Washington Park,Neighborhood,,,,,,164.04,0.26,Washington Park,K,,,GIS,2018-05-15T13:24:10.000Z,{986A0A4A-F2FB-4A2D-9624-3DE233C589B4}
114,,Knight Park/Howell Station,Neighborhood,,,,,,349.1,0.55,Knight Park,K,,,GIS,2018-05-15T13:24:10.000Z,{4BDB8A36-2292-4C3B-A0C1-588341184279}
115,,Vine City,Neighborhood,,,,,,327.2,0.51,Vine City,L,,,GIS,2018-05-15T13:24:10.000Z,{152D8EFD-F10A-4B8F-A5A2-5C598194D64A}
116,,Pittsburgh,Neighborhood,,,,,,512.04,0.8,Pittsburgh,V,,,GIS,2018-05-15T13:24:10.000Z,{63C400B4-DB52-468D-94AB-7296E3DC0210}
117,,Peoplestown,Neighborhood,,,,,,339.63,0.53,Peoplestown,V,,,GIS,2018-05-15T13:24:10.000Z,{F040011D-A893-43E7-8EB5-BF60ABDE6F21}
118,,Summerhill,Neighborhood,,,,,,344.65,0.54,Summerhill,V,,,GIS,2018-05-15T13:24:10.000Z,{2A9A4CBC-8100-4239-9FE1-14BD5C8DAEF4}
119,,Castleberry Hill,Neighborhood,,,,,,180.78,0.28,Castleberry Hill,M,,,GIS,2018-05-15T13:24:10.000Z,{09F68C81-C92D-4009-B321-0A3C9491CE0F}
120,,Sweet Auburn,Neighborhood,,,,,,201.7,0.32,Butler Street,M,,,GIS,2018-05-15T13:24:10.000Z,{B3788601-5649-4364-9C30-D941B551E5E9}
121,,Marietta Street Artery,Neighborhood,,,,,,107.65,0.17,Bellwood,E,,,GIS,2018-05-15T13:24:10.000Z,{D48D4DC9-8C40-43C9-BA71-2EDFF0165005}
122,,Sherwood Forest,Neighborhood,,,,,,133.45,0.21,Sherwood Forest,E,,,GIS,2018-05-15T13:24:10.000Z,{88552B0B-1C5E-498D-8948-3324B2FF398C}
123,,Loring Heights,Neighborhood,,,,,,276.41,0.43,Loring Heights,E,,,GIS,2018-05-15T13:24:10.000Z,{A615CAA3-C62E-4ABC-A81D-F4DBA50D986D}
124,,Brookwood Hills,Neighborhood,,,,,,199.44,0.31,Brookwood Hills,E,,,GIS,2018-05-15T13:24:10.000Z,{086E471D-77AA-4A79-90C6-5EC7821C246E}
125,,Old Gordon,Neighborhood,,,,,,78.62,0.12, ,H,,,GIS,2018-05-15T13:24:10.000Z,{6944378E-9549-4878-9D41-027A49A2F41B}
126,,Mays,Neighborhood,,,,,,252.84,0.4, ,H,,,GIS,2018-05-15T13:24:10.000Z,{E0100CB2-7465-419A-B53F-FFB6ECA6C164}
127,,Harvel Homes Community,Neighborhood,,,,,,15.79,0.02,Harvel Homes Community,J,,,GIS,2018-05-15T13:24:10.000Z,{42D37759-3A8B-4274-9D24-A92F9D3A74D0}
128,,Penelope Neighbors,Neighborhood,,,,,,126.25,0.2,Penelope Neighbors,J,,,GIS,2018-05-15T13:24:10.000Z,{867A7487-3E0F-4009-B82A-419CDB53DFD7}
129,,Dixie Hills,Neighborhood,,,,,,467.77,0.73,Dixie Hills,J,,,GIS,2018-05-15T13:24:10.000Z,{BD20CBF5-8A5D-423D-A18C-0634F965B657}
131,,Fairburn Heights,Neighborhood,,,,,,356.52,0.56,Fairburn Heights,H,,,GIS,2018-05-15T13:24:10.000Z,{7A6E0434-9AD7-497E-B5BD-1D0425938C00}
132,,Adamsville,Neighborhood,,,,,,583.36,0.91,Adamsville,H,,,GIS,2018-05-15T13:24:10.000Z,{FE0AA82E-8956-4854-ABF3-DE930407EBFD}
133,,Fairburn Road/Wisteria Lane,Neighborhood,,,,,,83.45,0.13,Fairburn Road/Wisteria La,H,,,GIS,2018-05-15T13:24:10.000Z,{F6908383-0CF2-4DD1-A771-8126488CA11D}
134,,Ridgecrest Forest,Neighborhood,,,,,,74.17,0.12,Ridgecrest Forest,H,,,GIS,2018-05-15T13:24:10.000Z,{1AA7A569-E750-453A-BE8C-8D0533A4AB25}
135,,Wildwood (NPU-H),Neighborhood,,,,,,178.7,0.28,Wildwood,H,,,GIS,2018-05-15T13:24:10.000Z,{0D75340F-DF45-4B40-ACD4-C60671EDC1C9}
136,,Boulder Park,Neighborhood,,,,,,386,0.6,Boulder Park,H,,,GIS,2018-05-15T13:24:10.000Z,{352C524B-A304-427A-8FCF-E1DE7C57464F}
137,,Westhaven,Neighborhood,,,,,,151.81,0.24,Westhaven,I,,,GIS,2018-05-15T13:24:10.000Z,{8B26E3F8-0B0F-4AFD-9F7F-300C47A6B145}
138,,Harland Terrace,Neighborhood,,,,,,294.69,0.46,Harland Terrace,I,,,GIS,2018-05-15T13:24:10.000Z,{C8A569C5-DD58-4C1F-9F93-10321DD951F7}
139,,Peyton Forest,Neighborhood,,,,,,286.49,0.45,Peyton Forest,I,,,GIS,2018-05-15T13:24:10.000Z,{C68109AF-94C5-4E31-9CFE-7B05860B8ED4}
140,,East Ardley Road,Neighborhood,,,,,,65.68,0.1,East Ardley Road,I,,,GIS,2018-05-15T13:24:10.000Z,{F390B456-5B78-4FC2-BE4C-0382FF9262AA}
141,,West Manor,Neighborhood,,,,,,171.92,0.27,West Manor,I,,,GIS,2018-05-15T13:24:10.000Z,{6E347D39-ED9E-4CE0-BE65-B375BEDB2DE9}
142,,Audobon Forest West,Neighborhood,,,,,,133.28,0.21,Audobon Forest West,I,,,GIS,2018-05-15T13:24:10.000Z,{20934A29-AA78-4E9D-A22F-2910DB18A468}
144,,Cascade Heights,Neighborhood,,,,,,659.5,1.03,Cascade Heights,I,,,GIS,2018-05-15T13:24:10.000Z,{07A29FF9-9AF7-4BA7-8081-C6FB1AD8D5F2}
145,,Westview,Neighborhood,,,,,,400.61,0.63,Westview,T,,,GIS,2018-05-15T13:24:10.000Z,{EF5FC411-CFD8-4626-9C8C-59DB5B50EF81}
146,,West End,Neighborhood,,,,,,680.99,1.06,West End,T,,,GIS,2018-05-15T13:24:10.000Z,{27B4B1D9-613B-4D24-951B-10C43AD02A85}
147,,Ashview Heights,Neighborhood,,,,,,174.84,0.27,Ashview Heights,T,,,GIS,2018-05-15T13:24:10.000Z,{C5382063-DD98-416E-BF59-994B77584168}
194,,Collier Heights,Neighborhood,,,,,,1247.12,1.95,Collier Heights,I,,,GIS,2018-05-15T13:24:10.000Z,{EF80017E-56AA-410C-8268-AF51AF95DACA}
195,,Ivan Hill,Neighborhood,,,,,,64.65,0.1,Ivan Hill,I,,,GIS,2018-05-15T13:24:10.000Z,{19F5045B-B48E-4108-B654-1A5BFF723872}
196,,Chalet Woods,Neighborhood,,,,,,76.75,0.12,Chalet Woods,I,,,GIS,2018-05-15T13:24:10.000Z,{69C4F8B7-A683-414B-B3D9-CE83CCE52A6D}
