OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID
231,,Atlantic Station,Neighborhood,,,,,,163.06,0.25,Home Park,E,,,GIS,2018-05-15T13:24:10.000Z,{0E3C70B8-FB96-4598-9392-35B0449DF8FB}
232,,Carey Park,Neighborhood,,,,,,333.4,0.52,Almond Park/Carey Park,G,,,GIS,2018-05-15T13:24:10.000Z,{59A11237-1E08-4337-A2B1-1E28DC18B068}
233,,Regency Trace,Neighborhood,,,,,,67.99,0.11, ,Q,,,GIS,2018-05-15T13:24:10.000Z,{B1EE211E-A0E3-4828-9445-AF707FEE4853}
234,,Horseshoe Community,Neighborhood,,,,,,34.47,0.05,Horseshoe Community,I,,,GIS,2018-05-15T13:24:10.000Z,{8C1A34BB-E563-493A-975A-49073E7B5C06}
235,,State Facility,Neighborhood,,,,,,117.07,0.18, ,W,,,GIS,2018-05-15T13:24:10.000Z,{31FC66F7-DF02-405B-A38D-2F42AC9D2993}
236,,South Oakes at Cascade,Neighborhood,,,,,,22.74,0.04,,P,,,GIS,2018-05-15T13:24:10.000Z,{6F80AE8C-F059-421A-933D-5B0A1622954E}
237,,Buckhead Heights,Neighborhood,,,,,,44.28,0.07,Lenox Superblock,B,,,GIS,2018-05-15T13:24:10.000Z,{2A14DFAA-4FD3-48A9-BC1E-E882E422BA11}
238,,Arlington Estates,Neighborhood,,,,,,215.82,0.34,Arlington Estates,P,,,GIS,2018-05-15T13:24:10.000Z,{E3AFD560-3D6D-43F5-87CE-106194973885}
239,,Midwest Cascade,Neighborhood,,,,,,596.48,0.93, ,Q,,,GIS,2018-05-15T13:24:10.000Z,{C461405C-F4CA-491E-B400-92BA98E95C09}
240,,Chastain Park,Neighborhood,,,,,,1074.39,1.68,Chastain Park,A,,,GIS,2018-05-15T13:24:10.000Z,{D98991CC-6F3B-46DD-ADCF-C9C90093626F}
241,,Mt. Paran Parkway,Neighborhood,,,,,,90.58,0.14,Mount Paran Parkway,A,,,GIS,2018-05-15T13:24:10.000Z,{FFBA337A-62F6-46EA-A02D-6311F86BDDC0}
